"Cuenca","Subcuenca","Estación","year(Fecha)","n","failed_params","total_params","F2","F1","F3","ICA","Latitud","Longitud"
"ALTA","AA Navarrete y Canuelas","ARROCANU- 3",2023,14,1,10,7.14285714285714,10,4.54545454545454,92.4349126957199,-34.9153333,-58.6319833
"ALTA","AA Navarrete y Canuelas","ARROCANU1- 32",2023,5,0,5,0,0,0,100,-35.02317,-58.678714
"ALTA","AA Navarrete y Canuelas","ARROCANUHipico- 62",2023,11,1,8,18.1818181818182,12.5,15.6441717791411,84.3836459199278,-34.977906,-58.662675
"ALTA","AA Navarrete y Canuelas","ARROCANUPel- 53",2023,10,0,10,0,0,0,100,-35.060548,-58.7403
"ALTA","AA Navarrete y Canuelas","ARROCANURuta6- 54",2023,10,1,10,10,10,9.1000908999091,90.2904128653326,-35.043029,-58.712825
"ALTA","AA Navarrete y Canuelas","ARROCanuEMC- 56",2023,11,1,11,9.09090909090909,9.09090909090909,6.69642857142857,91.6305368502842,-34.931731,-58.62045
"ALTA","AA Rodriguez","ARROROD- 38",2023,11,1,11,18.1818181818182,9.09090909090909,9.09090909090909,87.1431359291246,-34.9859167,-58.8840556
"ALTA","AA Rodriguez","ARROROD1- 68",2023,9,1,5,11.1111111111111,20,10.6354810238305,85.4328269228692,-34.9582778,-58.7689722
"ALTA","AA Rodriguez","TRIBROD2- 42",2023,16,1,11,18.75,9.09090909090909,4.5074470021643,87.690777528467,-34.9589944,-58.9687528
"ALTA","AA Rodriguez","TRIBROD3- 49",2023,10,0,10,0,0,0,100,-34.9498056,-58.9204917
"ALTA","AA de la Canada Pantanosa","ARROPANT1- 51",2023,12,1,12,8.33333333333333,8.33333333333333,2.73224043715847,93.015192360034,-34.7625556,-58.8103889
"ALTA","AA de la Canada Pantanosa","ArroPant200- 50",2023,13,1,13,23.0769230769231,7.69230769230769,10.3540470731988,84.736063494075,-34.76088889,-58.81919444
"ALTA","A° Cebey","ARROCEB- 39",2023,18,1,12,27.7777777777778,8.33333333333333,13.836848595345,81.4476565801055,-35.054478,-58.782642
"ALTA","A° Cebey","ARROCEB1- 40",2023,13,1,13,15.3846153846154,7.69230769230769,2.21818443492966,89.9867425038874,-35.06296944,-58.78628333
"ALTA","A° Cebey","ARROCEB2- 61",2023,13,1,13,7.69230769230769,7.69230769230769,3.37837837837838,93.4231656913658,-35.0596389,-58.7851694
"ALTA","A° Cebey","ARROCEB4- 41",2023,17,1,11,41.1764705882353,9.09090909090909,10.0051052784298,74.9776187725308,-34.9588278,-58.7587972
"ALTA","A° Cebey","ArroCeb3- 59",2023,12,1,12,25,8.33333333333333,9.23793493283836,83.87724551787,-35.01022222,-58.76516667
"ALTA","A° Morales","ARROMORA1- 37",2023,17,1,11,17.6470588235294,9.09090909090909,10.9214142389968,86.9185790788494,-34.8386167,-58.8332667
"ALTA","A° Morales","ArroElPioj- 84",2023,8,1,8,12.5,12.5,9.15750915750916,88.5053167587126,-34.869575,-58.792439
